,account_id,balance_mean,balance_max,balance_min,balance_std,reached_negative_balance,amount_mean,amount_max,amount_min
0,25,62991.264634146355,119652.7,900.0,22476.34797977519,1.0,192.8164634146342,49734.0,-62900.0
1,37,39953.97068965517,104761.5,-1011.2,23451.647180035612,-1.0,141.10258620689663,47785.0,-43200.0
2,38,31383.44909090908,55991.1,13841.0,10950.811532854588,1.0,680.3036363636363,20762.0,-16800.0
3,97,33057.37457627117,60334.7,900.0,12670.953546334435,1.0,343.3584745762712,26892.0,-18600.0
4,103,46266.57469879516,116038.4,379.0,28827.091843999817,1.0,240.70361445783143,48308.0,-53500.0
5,105,30797.48750000002,74693.6,800.0,16415.401618181768,1.0,538.8464285714288,49101.0,-29900.0
6,110,46148.29761904762,79652.2,900.0,12673.331275508795,1.0,661.1880952380952,35157.0,-23000.0
7,176,48780.09599999997,111282.3,800.0,24959.84482257202,1.0,483.74666666666656,47395.0,-61900.0
8,226,48376.25806451618,80433.2,1000.0,12283.907153443406,1.0,716.7451612903228,28588.0,-23400.0
9,276,51649.39830508474,74906.0,700.0,16029.13829426651,1.0,819.0677966101696,40234.0,-24800.0
10,303,44659.649612403126,68401.9,900.0,11387.127112028214,1.0,379.20000000000005,23108.0,-35360.0
11,309,30173.124242424197,59725.7,900.0,10956.883405561994,1.0,150.16969696969684,28726.0,-25400.0
12,314,38819.3202127659,109016.3,700.0,18712.608852566686,1.0,241.21808510638314,55346.0,-59900.0
13,319,48648.40116959066,110827.3,700.0,19732.115097790942,1.0,348.21461988304094,47415.0,-25000.0
14,330,42007.3663366337,73943.0,400.0,13202.104146796277,1.0,549.4544554455447,33590.0,-27040.0
15,339,59623.21607142851,127425.3,400.0,25407.637815788737,1.0,850.3080357142857,70210.0,-40100.0
16,349,17076.756470588232,31616.5,1100.0,5320.731429813168,1.0,219.95882352941177,10486.0,-8400.0
17,378,79500.53809523817,145352.1,20574.0,22324.051660436133,1.0,293.31726190476195,48038.0,-59900.0
18,440,25727.38235294116,50218.4,500.0,8961.646333139915,1.0,465.0152941176471,24694.5,-18700.0
19,442,5350.0,10100.0,600.0,6717.514421272202,1.0,5050.0,9500.0,600.0
20,472,58669.50434782607,113888.0,300.0,28112.217725030616,1.0,1659.3999999999999,73802.0,-49800.0
21,525,45912.39999999998,121135.2,300.0,21519.72175583645,1.0,787.7711864406781,48984.0,-28400.0
22,666,41922.04671052631,57779.4,200.0,9731.975450036934,1.0,358.96184210526314,21987.0,-20160.0
23,675,29946.99523809524,43627.3,900.0,7804.900729996323,1.0,275.9396825396825,14307.0,-14400.0
24,718,40141.795454545456,105970.4,500.0,22283.583719396145,1.0,538.6954545454547,49059.0,-49800.0
25,785,51641.83333333336,93801.3,700.0,19462.1957930411,1.0,862.7848484848485,39022.0,-20400.0
26,825,33129.40307692306,65121.6,500.0,14034.728710026884,1.0,324.0892307692308,23817.0,-14700.0
27,873,21491.790625,39315.6,1000.0,8412.096210563914,1.0,303.0875,10416.0,-7100.0
28,938,23066.613333333335,31277.6,700.0,8114.044262605659,1.0,2085.173333333333,12600.0,-4500.0
29,993,50883.196874999994,112610.8,1000.0,21193.141301590862,1.0,645.9156249999999,47615.0,-48400.0
30,1004,64193.404729729744,143846.4,200.0,29366.481591170148,1.0,149.62770270270275,49834.0,-62100.0
31,1068,34086.208955223905,96491.4,1000.0,18873.407739340768,1.0,362.71194029850767,46619.0,-34800.0
32,1083,28050.29918699188,48735.9,400.0,9147.726880698385,1.0,173.27723577235767,17388.0,-19200.0
33,1093,47433.42058823526,121006.5,1000.0,24768.348086833772,1.0,507.242156862745,72206.0,-42800.0
34,1242,40526.45500000001,131453.2,200.0,22589.55955533159,1.0,518.0350000000001,45043.0,-59100.0
35,1244,22981.055932203373,34278.5,900.0,6022.073345711425,1.0,299.3610169491526,7842.0,-7200.0
36,1252,40688.348305084764,78468.6,1000.0,13220.371518330696,1.0,222.22288135593215,37032.0,-25800.0
37,1270,24872.139436619724,45989.0,500.0,8273.729769931522,1.0,467.2887323943662,18696.0,-13400.0
38,1284,59684.298850574756,120419.7,1000.0,22496.238340889686,1.0,471.6689655172416,49972.0,-43000.0
39,1318,27729.91714285714,70887.8,200.0,15360.768047385516,1.0,391.27142857142877,29159.0,-25400.0
40,1329,25967.495238095245,44667.0,500.0,7748.942858772758,1.0,302.9746031746032,17642.0,-11200.0
41,1374,59749.88387096777,126403.5,700.0,25629.23233367527,1.0,1270.4822580645164,72966.0,-57700.0
42,1389,48989.182474226815,117375.0,800.0,29467.266709569773,1.0,178.07525773195874,48868.0,-60900.0
43,1407,71376.04415584418,143696.8,800.0,25109.194803138784,1.0,547.4324675324675,48743.0,-64700.0
44,1447,22604.339999999997,38628.6,300.0,11029.074077606576,1.0,2994.27,12508.0,-8800.0
45,1480,55026.619999999995,132024.9,800.0,25548.054001677494,1.0,551.1022222222222,46499.0,-58800.0
46,1498,45342.20442477874,116112.4,413.3,26937.966875153274,1.0,383.75486725663717,46160.0,-48000.0
47,1528,32688.03333333335,57550.1,500.0,11262.531250822685,1.0,492.2038461538461,27111.0,-18100.0
48,1580,51370.48059701492,134156.7,400.0,27095.340184743745,1.0,505.5432835820895,48954.0,-63100.0
49,1638,45735.83829787233,92048.9,900.0,19455.069880262385,1.0,503.2468085106383,43958.0,-33600.0
50,1656,34760.22890624997,78411.8,500.0,14092.49645727441,1.0,293.7546875,35589.0,-23200.0
51,1718,61146.52363636361,126478.3,300.0,22317.59647813194,1.0,1319.3472727272729,65892.0,-60600.0
52,1776,36159.70555555555,62263.4,400.0,10229.963510981177,1.0,696.6537037037037,20504.0,-17000.0
53,1808,69656.36923076928,118267.7,400.0,23107.00303929529,1.0,232.16666666666703,46716.0,-61900.0
54,1819,28370.441666666648,82795.9,700.0,16621.386656707095,1.0,228.80416666666667,48125.0,-30600.0
